# dead/faint floor (best_ev==0, near-zero ink) — optical track, not geometry
# CASE PAGE  # mean=.. ink=..
MIB-000737 2  # mean=218.3 ink=0.0057
MIB-000974 2  # mean=242.4 ink=0.0019
MIB-000178 4  # mean=242.5 ink=0.0112
MIB-000329 3  # mean=242.5 ink=0.0352
MIB-000712 3  # mean=242.5 ink=0.0386
MIB-000289 2  # mean=242.6 ink=0.0329
MIB-000351 3  # mean=242.7 ink=0.0367
MIB-000121 2  # mean=242.8 ink=0.029
MIB-000153 1  # mean=242.8 ink=0.0334
MIB-000222 2  # mean=242.8 ink=0.0389
MIB-000323 1  # mean=242.8 ink=0.0227
MIB-000666 0  # mean=242.9 ink=0.0306
MIB-000520 0  # mean=243.0 ink=0.0224
MIB-000815 0  # mean=243.0 ink=0.022
MIB-000006 1  # mean=243.1 ink=0.0343
MIB-000120 0  # mean=243.1 ink=0.0196
MIB-000757 2  # mean=243.1 ink=0.0271
MIB-000907 2  # mean=243.2 ink=0.0187
MIB-000008 0  # mean=243.3 ink=0.0293
MIB-000593 0  # mean=243.3 ink=0.0283
MIB-000641 1  # mean=243.3 ink=0.0297
MIB-000708 0  # mean=243.3 ink=0.0234
MIB-000538 0  # mean=243.4 ink=0.0303
MIB-000021 2  # mean=243.5 ink=0.035
MIB-000032 2  # mean=243.5 ink=0.0352
MIB-000423 0  # mean=243.5 ink=0.0342
MIB-000183 3  # mean=243.6 ink=0.0352
MIB-000236 0  # mean=243.6 ink=0.0352
MIB-000633 1  # mean=243.6 ink=0.0304
MIB-000827 3  # mean=243.6 ink=0.0268
MIB-000140 4  # mean=243.7 ink=0.0312
MIB-000468 5  # mean=243.7 ink=0.0022
MIB-000847 1  # mean=243.7 ink=0.0258
MIB-000384 0  # mean=243.8 ink=0.0326
MIB-000622 3  # mean=243.8 ink=0.028
MIB-000528 1  # mean=243.9 ink=0.0276
MIB-000771 3  # mean=243.9 ink=0.0336
MIB-000832 1  # mean=243.9 ink=0.0272
MIB-000966 0  # mean=243.9 ink=0.0342
MIB-000159 0  # mean=244.0 ink=0.0252
MIB-000308 0  # mean=244.0 ink=0.0301
MIB-000436 0  # mean=244.0 ink=0.029
MIB-000453 5  # mean=244.0 ink=0.0268
MIB-000519 2  # mean=244.0 ink=0.0313
MIB-000781 4  # mean=244.0 ink=0.0235
MIB-000759 1  # mean=244.1 ink=0.0322
MIB-000819 0  # mean=244.1 ink=0.0182
MIB-000344 2  # mean=244.2 ink=0.0307
MIB-000369 0  # mean=244.2 ink=0.026
MIB-000944 2  # mean=244.2 ink=0.0274
MIB-000968 3  # mean=244.2 ink=0.0266
MIB-001000 1  # mean=244.2 ink=0.0354
MIB-000255 0  # mean=244.3 ink=0.0214
MIB-000440 1  # mean=244.3 ink=0.0302
MIB-000622 0  # mean=244.3 ink=0.031
MIB-000707 0  # mean=244.3 ink=0.0365
MIB-000871 0  # mean=244.3 ink=0.0268
MIB-000622 2  # mean=244.4 ink=0.0382
MIB-000651 2  # mean=244.4 ink=0.0243
MIB-000109 1  # mean=244.5 ink=0.027
MIB-000281 4  # mean=244.5 ink=0.0097
MIB-000891 0  # mean=244.5 ink=0.0354
MIB-000991 0  # mean=244.5 ink=0.017
MIB-000114 1  # mean=244.6 ink=0.0317
MIB-000276 2  # mean=244.6 ink=0.0203
MIB-000316 2  # mean=244.6 ink=0.0246
MIB-000391 1  # mean=244.6 ink=0.0339
MIB-000470 0  # mean=244.6 ink=0.0252
MIB-000549 3  # mean=244.6 ink=0.0254
MIB-000657 0  # mean=244.6 ink=0.0289
MIB-000723 4  # mean=244.7 ink=0.0223
MIB-000598 0  # mean=244.8 ink=0.0193
MIB-000688 3  # mean=244.8 ink=0.0256
MIB-000468 4  # mean=244.9 ink=0.0226
MIB-000989 1  # mean=244.9 ink=0.0247
MIB-000022 3  # mean=245.0 ink=0.0256
MIB-000073 4  # mean=245.0 ink=0.0255
MIB-000091 1  # mean=245.0 ink=0.0319
MIB-000677 0  # mean=245.0 ink=0.0276
MIB-000681 3  # mean=245.0 ink=0.0361
MIB-000939 2  # mean=245.0 ink=0.0301
MIB-000036 0  # mean=245.1 ink=0.0182
MIB-000261 4  # mean=245.1 ink=0.0032
MIB-000321 2  # mean=245.1 ink=0.0265
MIB-000342 1  # mean=245.1 ink=0.0257
MIB-000337 5  # mean=245.1 ink=0.0258
MIB-000882 3  # mean=245.1 ink=0.0157
MIB-000988 3  # mean=245.1 ink=0.0327
MIB-000984 1  # mean=245.1 ink=0.0231
MIB-000026 5  # mean=245.2 ink=0.0236
MIB-000128 4  # mean=245.2 ink=0.0174
MIB-000476 1  # mean=245.2 ink=0.0369
MIB-000693 2  # mean=245.2 ink=0.0215
MIB-000016 3  # mean=245.3 ink=0.0288
MIB-000086 1  # mean=245.3 ink=0.0178
MIB-000084 1  # mean=245.3 ink=0.0189
MIB-000139 2  # mean=245.3 ink=0.021
MIB-000219 0  # mean=245.3 ink=0.0135
MIB-000355 0  # mean=245.3 ink=0.0268
MIB-000468 3  # mean=245.3 ink=0.0232
MIB-000334 2  # mean=245.4 ink=0.0224
MIB-000759 0  # mean=245.4 ink=0.0147
MIB-000917 0  # mean=245.4 ink=0.0187
MIB-000924 0  # mean=245.4 ink=0.0163
MIB-000397 3  # mean=245.5 ink=0.0235
MIB-000216 3  # mean=245.6 ink=0.0301
MIB-000330 2  # mean=245.6 ink=0.0291
MIB-000381 3  # mean=245.6 ink=0.0136
MIB-000462 2  # mean=245.6 ink=0.0158
MIB-000543 0  # mean=245.6 ink=0.0239
MIB-000521 3  # mean=245.7 ink=0.0254
MIB-000610 3  # mean=245.7 ink=0.0172
MIB-000148 1  # mean=245.8 ink=0.0157
MIB-000980 2  # mean=245.8 ink=0.0238
MIB-000830 4  # mean=245.9 ink=0.0277
MIB-000892 0  # mean=245.9 ink=0.0
MIB-000261 3  # mean=246.0 ink=0.0187
MIB-000457 1  # mean=246.0 ink=0.021
MIB-000870 1  # mean=246.0 ink=0.0194
MIB-000619 5  # mean=246.1 ink=0.0264
MIB-000051 3  # mean=246.2 ink=0.0184
MIB-000193 3  # mean=246.2 ink=0.0181
MIB-000243 3  # mean=246.2 ink=0.0167
MIB-000547 3  # mean=246.2 ink=0.0197
MIB-000635 2  # mean=246.2 ink=0.0173
MIB-000768 0  # mean=246.2 ink=0.0261
MIB-000803 2  # mean=246.2 ink=0.0264
MIB-000907 4  # mean=246.2 ink=0.0204
MIB-000957 1  # mean=246.2 ink=0.0286
MIB-000746 1  # mean=246.3 ink=0.0261
MIB-000921 0  # mean=246.4 ink=0.0229
MIB-000247 4  # mean=246.5 ink=0.0326
MIB-000308 4  # mean=246.6 ink=0.0256
MIB-000899 1  # mean=246.6 ink=0.0216
MIB-000119 1  # mean=246.7 ink=0.0167
MIB-000184 4  # mean=246.7 ink=0.0117
MIB-000013 1  # mean=246.8 ink=0.0232
MIB-000077 1  # mean=246.8 ink=0.0184
MIB-000337 4  # mean=246.8 ink=0.0181
MIB-000699 1  # mean=246.8 ink=0.0144
MIB-000018 1  # mean=246.9 ink=0.0176
MIB-000074 4  # mean=246.9 ink=0.0144
MIB-000107 0  # mean=246.9 ink=0.0232
MIB-000401 1  # mean=246.9 ink=0.0263
MIB-000662 3  # mean=247.0 ink=0.0177
MIB-000864 2  # mean=247.0 ink=0.0197
MIB-000972 1  # mean=247.0 ink=0.0202
MIB-000142 3  # mean=247.1 ink=0.0128
MIB-000192 0  # mean=247.1 ink=0.0189
MIB-000359 3  # mean=247.1 ink=0.0138
MIB-000073 1  # mean=247.2 ink=0.0034
MIB-000815 4  # mean=247.2 ink=0.0087
MIB-000853 1  # mean=247.2 ink=0.0041
MIB-000722 0  # mean=247.3 ink=0.0205
MIB-000851 0  # mean=247.3 ink=0.0021
MIB-000278 0  # mean=247.4 ink=0.0191
MIB-000935 4  # mean=247.5 ink=0.0076
MIB-000443 2  # mean=247.6 ink=0.0069
MIB-000315 4  # mean=247.7 ink=0.0192
MIB-000475 1  # mean=247.7 ink=0.0106
MIB-000800 3  # mean=247.7 ink=0.0116
MIB-000887 1  # mean=247.7 ink=0.0109
MIB-000493 4  # mean=247.8 ink=0.0127
MIB-000611 4  # mean=247.8 ink=0.0238
MIB-000281 0  # mean=247.9 ink=0.0199
MIB-000434 2  # mean=247.9 ink=0.0136
MIB-000475 2  # mean=247.9 ink=0.0171
MIB-000505 0  # mean=247.9 ink=0.0159
MIB-000523 3  # mean=247.9 ink=0.0228
MIB-000519 3  # mean=247.9 ink=0.0036
MIB-000796 2  # mean=247.9 ink=0.02
MIB-000883 0  # mean=247.9 ink=0.0068
MIB-000377 2  # mean=248.0 ink=0.0136
MIB-000414 5  # mean=248.0 ink=0.0049
MIB-000493 1  # mean=248.0 ink=0.011
MIB-000074 0  # mean=248.1 ink=0.011
MIB-000163 3  # mean=248.1 ink=0.0172
MIB-000380 3  # mean=248.1 ink=0.002
MIB-000979 1  # mean=248.1 ink=0.0171
MIB-000136 4  # mean=248.2 ink=0.0161
MIB-000533 2  # mean=248.2 ink=0.0049
MIB-000644 0  # mean=248.2 ink=0.0107
MIB-000726 3  # mean=248.2 ink=0.0062
MIB-000122 5  # mean=248.3 ink=0.0016
MIB-000348 4  # mean=248.3 ink=0.0073
MIB-000586 1  # mean=248.3 ink=0.0191
MIB-000129 0  # mean=248.4 ink=0.0209
MIB-000328 0  # mean=248.4 ink=0.0164
MIB-000460 1  # mean=248.4 ink=0.0154
MIB-000819 4  # mean=248.4 ink=0.0184
MIB-000964 3  # mean=248.4 ink=0.0158
MIB-000056 0  # mean=248.5 ink=0.0227
MIB-000297 2  # mean=248.5 ink=0.0129
MIB-000958 2  # mean=248.5 ink=0.0038
MIB-000049 2  # mean=248.6 ink=0.0023
MIB-000345 4  # mean=248.6 ink=0.018
MIB-000596 2  # mean=248.6 ink=0.01
MIB-000785 3  # mean=248.6 ink=0.0099
MIB-000694 0  # mean=248.7 ink=0.0115
MIB-001000 2  # mean=248.7 ink=0.0104
MIB-000009 0  # mean=248.8 ink=0.0093
MIB-000046 5  # mean=248.8 ink=0.006
MIB-000167 0  # mean=248.8 ink=0.0102
MIB-000293 0  # mean=248.8 ink=0.0034
MIB-000915 3  # mean=248.8 ink=0.0181
MIB-000367 0  # mean=248.9 ink=0.0164
MIB-000397 2  # mean=248.9 ink=0.0122
MIB-000546 0  # mean=248.9 ink=0.016
MIB-000058 0  # mean=249.0 ink=0.0011
MIB-000096 1  # mean=249.0 ink=0.0029
MIB-000219 2  # mean=249.0 ink=0.0266
MIB-000802 0  # mean=249.0 ink=0.0091
MIB-000896 3  # mean=249.0 ink=0.0019
MIB-000061 0  # mean=249.1 ink=0.0023
MIB-000236 1  # mean=249.1 ink=0.0018
MIB-000234 2  # mean=249.1 ink=0.0063
MIB-000333 2  # mean=249.1 ink=0.016
MIB-000508 0  # mean=249.1 ink=0.0015
MIB-000537 2  # mean=249.1 ink=0.0121
MIB-000211 5  # mean=249.2 ink=0.0135
MIB-000321 3  # mean=249.2 ink=0.0119
MIB-000627 2  # mean=249.2 ink=0.0089
MIB-000726 4  # mean=249.2 ink=0.007
MIB-000986 2  # mean=249.2 ink=0.0111
MIB-000490 1  # mean=249.3 ink=0.015
MIB-000554 1  # mean=249.3 ink=0.0084
MIB-000155 3  # mean=249.4 ink=0.0081
MIB-000366 2  # mean=249.4 ink=0.0149
MIB-000604 5  # mean=249.4 ink=0.0132
MIB-000843 3  # mean=249.4 ink=0.0193
MIB-000955 1  # mean=249.4 ink=0.0083
MIB-000809 0  # mean=249.6 ink=0.0132
MIB-000282 1  # mean=249.7 ink=0.019
MIB-000549 2  # mean=249.7 ink=0.0052
MIB-000494 0  # mean=249.8 ink=0.0115
MIB-000497 3  # mean=249.8 ink=0.009
MIB-000710 0  # mean=249.8 ink=0.0054
MIB-000767 1  # mean=249.8 ink=0.011
MIB-000866 4  # mean=249.8 ink=0.0168
MIB-000293 1  # mean=249.9 ink=0.0119
MIB-000362 2  # mean=249.9 ink=0.0137
MIB-000660 2  # mean=249.9 ink=0.0011
MIB-000296 5  # mean=250.1 ink=0.0087
MIB-000643 3  # mean=250.1 ink=0.0059
MIB-000905 1  # mean=250.1 ink=0.0013
MIB-000936 1  # mean=250.1 ink=0.0076
MIB-000931 4  # mean=250.1 ink=0.0084
MIB-000235 1  # mean=250.2 ink=0.0036
MIB-000403 3  # mean=250.2 ink=0.0055
MIB-000420 4  # mean=250.2 ink=0.0038
MIB-000457 2  # mean=250.2 ink=0.002
MIB-000516 1  # mean=250.2 ink=0.0117
MIB-000140 0  # mean=250.3 ink=0.0088
MIB-000561 0  # mean=250.3 ink=0.0048
MIB-000609 2  # mean=250.3 ink=0.0121
MIB-000798 0  # mean=250.3 ink=0.0097
MIB-000780 4  # mean=250.5 ink=0.004
MIB-000116 2  # mean=250.6 ink=0.0083
MIB-000464 1  # mean=250.6 ink=0.009
MIB-000807 1  # mean=250.6 ink=0.0097
MIB-000253 4  # mean=250.8 ink=0.0015
MIB-000347 0  # mean=250.8 ink=0.0075
MIB-000459 4  # mean=250.8 ink=0.0013
MIB-000781 2  # mean=250.8 ink=0.007
MIB-000801 2  # mean=250.8 ink=0.0041
MIB-000956 1  # mean=250.8 ink=0.0048
MIB-000016 2  # mean=250.9 ink=0.0014
MIB-000143 1  # mean=251.0 ink=0.0041
MIB-000297 3  # mean=251.0 ink=0.0001
MIB-000747 1  # mean=251.2 ink=0.0031
MIB-000955 3  # mean=251.2 ink=0.0017
MIB-000444 0  # mean=251.3 ink=0.0053
MIB-000076 4  # mean=251.4 ink=0.0019
MIB-000608 2  # mean=251.4 ink=0.0024
MIB-000792 1  # mean=251.4 ink=0.0079
MIB-000816 0  # mean=251.4 ink=0.0024
MIB-000924 2  # mean=251.4 ink=0.0022
MIB-000947 2  # mean=251.4 ink=0.0064
MIB-000262 0  # mean=251.5 ink=0.0036
MIB-000510 2  # mean=251.5 ink=0.0051
MIB-000581 1  # mean=251.5 ink=0.0029
MIB-000802 3  # mean=251.5 ink=0.0095
MIB-000044 3  # mean=251.6 ink=0.0005
MIB-000120 1  # mean=251.6 ink=0.0028
MIB-000526 1  # mean=251.6 ink=0.0055
MIB-000563 1  # mean=251.6 ink=0.0028
MIB-000724 4  # mean=251.6 ink=0.0032
MIB-000796 0  # mean=251.6 ink=0.0033
MIB-000909 0  # mean=251.6 ink=0.0
MIB-000056 4  # mean=251.7 ink=0.0022
MIB-000574 5  # mean=251.9 ink=0.0017
MIB-000688 2  # mean=251.9 ink=0.0017
MIB-000825 1  # mean=251.9 ink=0.0021
MIB-000989 0  # mean=252.0 ink=0.0018
MIB-000581 4  # mean=252.1 ink=0.0026
MIB-000615 5  # mean=252.1 ink=0.0021
MIB-000748 2  # mean=252.1 ink=0.0105
MIB-000448 1  # mean=252.2 ink=0.0035
MIB-000276 1  # mean=252.3 ink=0.0034
MIB-000420 1  # mean=252.3 ink=0.0019
MIB-000477 0  # mean=252.3 ink=0.0024
MIB-000294 1  # mean=252.4 ink=0.0
MIB-000399 1  # mean=252.4 ink=0.0008
MIB-000727 0  # mean=252.5 ink=0.0027
MIB-000818 1  # mean=252.5 ink=0.0034
MIB-000025 1  # mean=252.6 ink=0.0023
MIB-000151 2  # mean=252.6 ink=0.0041
MIB-000438 0  # mean=252.6 ink=0.0022
MIB-000545 3  # mean=252.6 ink=0.0013
MIB-000761 2  # mean=252.6 ink=0.0035
MIB-000685 2  # mean=252.7 ink=0.0038
MIB-000714 4  # mean=252.7 ink=0.0085
MIB-000619 3  # mean=252.8 ink=0.0014
MIB-000672 4  # mean=252.8 ink=0.0028
MIB-000074 1  # mean=252.9 ink=0.0002
MIB-000788 1  # mean=253.2 ink=0.0021
MIB-000205 1  # mean=253.3 ink=0.0022
MIB-000018 2  # mean=253.4 ink=0.0025
MIB-000958 1  # mean=253.4 ink=0.002
MIB-000751 4  # mean=253.5 ink=0.0018
MIB-000365 4  # mean=253.7 ink=0.0021
MIB-000436 2  # mean=253.7 ink=0.0003
MIB-000279 3  # mean=253.8 ink=0.0019
MIB-000008 2  # mean=254.0 ink=0.0016
MIB-000687 0  # mean=254.0 ink=0.0013
